# Parent ID: -1.0
x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49
0,131328,66304,66304,66304,66304,132096,132096,66304,66304,66304,66304,66304,256,328708,1.4661156E7,7758861,7823664,1.644876E7,9648901.0,1639938,1446915,8740369,768,9991195.0,9009179,8413468,7558672,9794340.0,131842,4532751,5123338,330754,1026,66304,132096,132096,66304,132096,66304,197888,197888,132096,197888,197888,132096,197888,197888,66304,132352
65793,0,512,512,512,66304,66304,66304,512,512,512,512,512,66304,132097,1051400,1.1839593E7,591622,1.0311436E7,1.6317088E7,1.6776923E7,1.6777214E7,3,721667,65536,6045725,6113049,5258514,4994063,6969125,7958847,3550480,2630158,3023888,66304,132096,197888,197888,66304,132096,197888,197888,197888,197888,132096,132096,132096,132096,132096,132096
65793,65793,66048,512,512,66304,512,512,512,512,512,512,512,132101,593948,0,197635,7763218,527112,656386,8410375,1.6640321E7,8673545,1.2228419E7,1.0515232E7,131331,512,2170640,2564368,1841934,459526,3221513,3090451,1117189,329217,132097,132096,197888,132096,197888,197888,197888,197888,197888,197888,66304,197888,197888,197888,197888
65793,65793,0,1,512,512,66304,256,66304,66304,65792,66049,5789774,65792,66048,132097,66304,197633,2299907,1.3145887E7,198148,2102791,1.1305249E7,1.0517792E7,1.0386728E7,7821075,0,1,513,132096,986375,1972246,1183753,591875,66304,132097,132096,263681,132096,197888,132096,197888,197888,197888,132096,66304,132096,197888,132096,197888
0,65793,0,65793,65792,65792,66304,512,512,66304,131842,4472091,197890,512,512,66304,66304,66304,66304,132355,1708294,9137184,5783832,3417870,8413211,7886622,2102279,65537,65793,512,65794,461061,66561,132097,512,66304,132096,132096,197888,197888,197888,263681,197888,197888,197888,197888,132096,132096,132096,197888
0,0,65793,65793,66049,512,65793,65792,512,512,512,512,66304,512,512,512,512,512,66304,512,512,256,2958352,4142103,5718811,1511429,197632,513,65793,512,512,65794,3550750,66304,66304,132096,197888,132096,197888,132096,197888,197888,197888,197888,132096,197888,197888,197888,197888,197888
0,0,0,65793,65793,66049,65793,513,65792,65793,65793,65792,512,512,66304,512,66304,66304,512,66048,512,512,65792,513,131840,328960,0,0,66049,65793,512,512,459012,1024,132097,132096,197888,132096,66304,197888,197888,197888,197888,132096,197888,132096,132096,197888,197888,132096
0,0,0,0,65793,65793,65793,65793,513,65537,65793,0,512,65792,512,512,512,66304,512,66304,512,512,65793,65792,65793,65793,0,512,65793,512,512,512,1.479614E7,4,66560,132096,197888,197889,132096,132096,197888,197888,197888,197888,132096,132096,197888,132096,132096,132096
0,0,0,0,0,0,0,0,0,0,65793,65793,0,770,512,65793,65793,1,512,65793,66048,512,512,65792,65537,512,512,512,65793,65792,512,132097,197888,65793,66304,197888,132096,132096,197888,132096,197888,197888,197888,132096,132096,197888,197888,197888,132096,132096
0,0,0,0,0,0,0,0,0,0,0,65793,0,65793,65793,65793,66048,131584,65793,65793,512,512,512,66049,65793,513,512,66304,66304,512,66304,197888,132096,1643019,66048,197888,197888,132096,132096,197888,197888,263681,197888,132096,132096,197888,197888,197888,197888,197888
0,0,0,0,0,0,0,0,0,0,0,0,0,0,65793,0,0,65793,65537,65793,65793,66304,512,65793,65793,512,512,66304,512,66304,132097,132096,132096,197888,197890,197888,263681,197888,197888,263681,132096,197888,197888,66304,197888,197888,132096,197888,197888,197888
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65793,65793,0,65793,65793,66304,512,65792,512,65792,512,66304,132097,66304,512,197888,197888,197888,197888,262145,263430,263681,197888,197888,197888,263681,329474,197888,197888,132096,197888,197888,132096,197888,132096
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65793,513,0,65793,66304,256,512,512,66304,66304,132097,132097,66304,197888,263681,329474,263681,8086830,2366743,329474,329474,197888,197888,263681,132864,263681,132096,197888,197888,197888,132096,132096,132096
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65793,65793,65793,512,512,66304,66304,512,66304,132097,132097,132097,263681,263681,263681,395010,328964,328707,197888,329474,197888,329474,395010,329218,263681,197888,197888,263681,197888,263681,263681,263681
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65793,0,65793,512,66304,66304,66304,132097,132097,132097,132097,197890,263681,329474,329474,198915,263681,592389,1315853,263681,329474,263681,198658,395010,329474,263681,263681,263681,197888,197888,197888,263681
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65793,65793,66304,512,132097,132097,132097,197890,197890,66304,132096,263681,329474,264194,329474,133122,198915,131587,394497,329218,329731,264194,329474,197888,197888,329474,263681,263681,197888,197888,197888
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65793,1,66048,66304,66304,132097,132097,197890,197890,132097,132096,329474,395010,199171,329987,395267,133378,256,329729,329474,329217,198658,198658,197888,263681,197888,197888,263681,263681,197888,263681
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65793,0,65793,512,132097,132097,197890,132097,132099,132097,197890,132096,263681,395011,330244,329474,198658,329731,264195,328704,330244,264451,264451,329218,263681,263681,263681,197888,263681,263681,263681,263681
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65793,0,65793,0,65793,513,512,66304,197890,132097,263681,197890,132097,263681,197888,198658,264451,330244,264451,264451,198658,257,67585,198658,264451,329474,263681,263681,197888,263681,263681,263681,263681,197888
